city,country,id,lat,lng,temp,humidity,clouds,wind_speed
Albany,US,5106841,42.6,-73.97,22.73,79,1,3.36
Punta Arenas,CL,3874787,-53.15,-70.92,44.31,70,100,11.41
Larnaca,CY,146400,34.92,33.63,50.79,50,40,18.34
Quemado de Guines,CU,3543077,22.79,-80.25,55.4,93,20,2.24
Nome,US,5870133,64.5,-165.41,-10.97,75,1,6.62
Vaini,TO,4032243,-21.2,-175.2,78.8,83,40,6.93
Mar del Plata,AR,3430863,-38.0,-57.56,71.83,94,100,17.22
Qaanaaq,GL,3831208,77.48,-69.36,-13.02,48,0,6.82
Airai,TL,1651810,-8.93,125.41,73.78,87,92,1.92
Kapaa,US,5848280,22.08,-159.32,68.52,77,20,5.82
Carnarvon,AU,2074865,-24.87,113.63,93.2,46,0,20.8
Port Elizabeth,ZA,964420,-33.92,25.57,69.8,83,20,19.46
Abastumani,GE,584502,41.71,42.85,37.4,73,75,10.29
Busselton,AU,2075265,-33.65,115.33,86.9,23,0,17.25
Sibolga,ID,1213855,1.74,98.78,83.35,73,43,3.94
Le Port,RE,935616,-20.94,55.29,79.77,88,100,3.36
Taoudenni,ML,2450173,22.68,-3.98,71.91,20,100,11.3
High Level,CA,5975004,58.52,-117.14,19.4,100,90,4.63
Kaili,ID,1638368,-3.46,120.21,65.62,99,100,1.23
Rohri,PK,1166827,27.69,68.9,68.0,56,0,4.47
Hambantota,LK,1244926,6.12,81.12,87.8,74,40,16.11
Hanzhong,CN,1808857,33.07,107.03,40.98,83,100,3.96
Hithadhoo,MV,1282256,-0.6,73.08,84.13,78,61,9.75
Sechura,PE,3691954,-5.56,-80.82,72.46,84,100,5.66
Codrington,AU,2171099,-38.27,141.97,63.27,81,72,19.39
Hermanus,ZA,3366880,-34.42,19.23,76.8,69,0,11.01
Bluff,NZ,2206939,-46.6,168.33,75.0,67,71,5.99
Igarka,RU,1505991,67.47,86.58,3.13,93,100,14.56
Port Alfred,ZA,964432,-33.59,26.89,70.0,86,0,10.0
Bethel,US,5282297,41.37,-73.41,30.13,79,1,1.57
Menongue,AO,3347353,-14.66,17.69,76.64,60,74,5.23
Saldanha,ZA,3361934,-33.01,17.94,69.8,73,0,20.8
Nambucca Heads,AU,2155858,-30.65,153.0,81.7,83,100,17.22
Atambua,ID,1651103,-9.11,124.89,80.65,75,20,4.59
Tiksi,RU,2015306,71.69,128.87,-33.11,87,0,6.58
Tuktoyaktuk,CA,6170031,69.45,-133.04,-14.13,98,100,10.0
Vila Franca do Campo,PT,3372472,37.72,-25.43,53.6,81,20,3.36
New Norfolk,AU,2155415,-42.78,147.06,65.05,37,85,18.34
Mubi,NG,2329821,10.27,13.26,73.67,10,33,16.11
Yellowknife,CA,6185377,62.46,-114.35,5.0,84,90,9.17
Cotonou,BJ,2394819,6.37,2.42,78.8,94,40,6.93
Vilyuysk,RU,2013392,63.76,121.62,-46.12,97,44,3.06
Rancho Veloz,CU,3542753,22.88,-80.39,55.4,93,20,2.24
Flinders,AU,6255012,-34.58,150.86,75.52,57,90,10.29
Bredasdorp,ZA,1015776,-34.53,20.04,74.1,60,46,12.75
Taraz,KZ,1516905,42.9,71.37,35.87,56,90,13.42
Kandrian,PG,2094746,-6.22,149.55,78.04,87,81,6.87
Mareeba,AU,2158767,-17.0,145.43,84.58,74,40,3.36
Hobart,AU,2163355,-42.88,147.33,66.25,37,71,18.34
Dicabisagan,PH,1715015,17.08,122.42,76.46,83,100,7.05
Rikitea,PF,4030556,-23.12,-134.97,77.52,79,0,18.86
Thompson,CA,6165406,55.74,-97.86,1.4,91,5,2.24
San Policarpo,PH,1688696,12.18,125.51,79.99,86,9,14.92
Yar-Sale,RU,1486321,66.83,70.83,6.49,96,98,6.35
Klaksvik,FO,2618795,62.23,-6.59,39.2,68,100,26.4
Saint-Leu,RE,6690297,-21.15,55.28,79.84,78,90,10.29
Jamestown,US,5122534,42.1,-79.24,35.06,50,90,6.93
